A-site,B-site,X-site,T_f,O_f,r_A.eff,P_A,A_HOMO,χ_B,r_B_s+p,A_LUMO,r_B,IE_B,P_B,EA_B,X_p-electron,IC_B,1st_IP_B,VE_B,B_d-electron,1st_IP_X,χ_X,P_X,IC_X,r_X_s+p,r_X,X_s-electron,B_p-electron,EA_X,B_s-electron,X_d-electron,B_f-electron,X_f-electron,bandgap-PBE(eV)
CH3NH3,Mg,I,1.058238573,0.327272727,2.17,2.96816307,-15.735,1.31,2.03,-6.382000000000001,0.72,15.03527,10.6,0.2623,24,10,7.65,0,0,10.45,2.66,4.7,54,1.585,2.2,10,6,3.0589999999999997,4,20,0,0,1.774819
CH3NH3,Si,I,1.0842303979999999,0.295454545,2.17,2.96816307,-15.735,1.98,1.42,-6.382000000000001,0.65,16.54584,5.53,1.3895211,24,12,8.15,2,0,10.45,2.66,4.7,54,1.585,2.2,10,6,3.0589999999999997,6,20,0,0,0.46814300000000003
CH3NH3,P,I,1.091892803,0.28636363600000003,2.17,2.96816307,-15.735,2.32,1.24,-6.382000000000001,0.63,19.7695,3.63,0.746607,24,13,10.49,3,0,10.45,2.66,4.7,54,1.585,2.2,10,7,3.0589999999999997,6,20,0,0,0.0
CH3NH3,Ca,I,0.965642698,0.454545455,2.17,2.96816307,-15.735,1.17,3.0,-6.382000000000001,1.0,11.87172,25.0,0.02455,24,18,6.11,0,0,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0,4.000815
CH3NH3,Sc,I,0.9840944690000001,0.427272727,2.17,2.96816307,-15.735,1.5,2.75,-6.382000000000001,0.94,12.79977,17.8,0.188,24,19,6.56,1,1,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0,0.0
CH3NH3,Ti,I,1.009822429,0.39090909100000004,2.17,2.96816307,-15.735,1.86,2.58,-6.382000000000001,0.86,13.5755,14.6,0.079,24,20,6.83,2,5,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0,0.0
CH3NH3,V,I,1.033463757,0.35909090899999996,2.17,2.96816307,-15.735,2.22,2.43,-6.382000000000001,0.79,14.618,12.4,0.525,24,21,6.75,3,3,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0,0.0
CH3NH3,Ni,I,1.069223749,0.313636364,2.17,2.96816307,-15.735,1.76,2.18,-6.382000000000001,0.69,18.16884,6.8,1.156,24,26,7.64,8,8,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0,0.0
CH3NH3,As,I,1.061875132,0.322727273,2.17,2.96816307,-15.735,2.27,1.415,-6.382000000000001,0.71,18.5892,4.31,0.804,24,31,9.81,3,10,10.45,2.66,4.7,54,1.585,2.2,10,13,3.0589999999999997,8,20,0,0,0.0
CH3NH3,Sr,I,0.914217939,0.536363636,2.17,2.96816307,-15.735,1.13,3.21,-6.382000000000001,1.18,11.0301,27.6,0.048,24,36,5.7,0,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,4.2548580000000005
CH3NH3,Y,I,0.923783747,0.520454545,2.17,2.96816307,-15.735,1.41,2.94,-6.382000000000001,1.145,12.224,22.7,0.307,24,37,6.22,1,11,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,0.0
CH3NH3,Zr,I,0.93073995,0.509090909,2.17,2.96816307,-15.735,1.7,2.825,-6.382000000000001,1.12,13.1,17.9,0.426,24,38,6.63,2,12,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,0.0
CH3NH3,Nb,I,0.968669791,0.45,2.17,2.96816307,-15.735,2.03,2.79,-6.382000000000001,0.99,14.0,15.7,0.9159999999999999,24,39,6.76,3,13,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,0.0
CH3NH3,Mo,I,0.996792463,0.409090909,2.17,2.96816307,-15.735,1.94,2.72,-6.382000000000001,0.9,16.16,12.8,0.748,24,40,7.09,4,14,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,0.0
CH3NH3,Rh,I,1.016465998,0.381818182,2.17,2.96816307,-15.735,1.99,2.52,-6.382000000000001,0.84,18.08,8.6,1.137,24,43,7.46,7,17,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,0.0
CH3NH3,Pd,I,1.009822429,0.39090909100000004,2.17,2.96816307,-15.735,2.08,2.45,-6.382000000000001,0.86,19.43,4.8,0.562,24,44,8.34,8,18,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,0.0
CH3NH3,Ag,I,0.9840944690000001,0.427272727,2.17,2.96816307,-15.735,1.07,2.375,-6.382000000000001,0.94,21.47746,7.2,1.3019999999999998,24,45,7.58,9,19,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0,0.0
