A-site,B-site,X-site,T_f,O_f,r_A.eff,P_A,A_HOMO,χ_B,r_B_s+p,A_LUMO,r_B,IE_B,P_B,EA_B,X_p-electron,IC_B,1st_IP_B,VE_B,B_d-electron,1st_IP_X,χ_X,P_X,IC_X,r_X_s+p,r_X,X_s-electron,B_p-electron,EA_X,B_s-electron,X_d-electron,B_f-electron,X_f-electron
NH2NH3,Ge,I,1.0546268374693557,0.3318181818181818,2.17,2.603313579,-12.982000000000001,2.01,1.56,-6.67,0.73,15.934610000000001,5.84,1.232712,24,30,7.9,2,10,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,8,20,0,0
NH2NH3,Hf,F,1.0269185618891767,0.8120300751879699,2.17,2.603313579,-12.982000000000001,1.73,2.91,-6.67,1.08,15.0,16.2,0.013999999999999999,6,70,6.83,2,22,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,10,0,14,0
NH2NH3,Hf,Cl,0.9738010342984287,0.5966850828729282,2.17,2.603313579,-12.982000000000001,1.73,2.91,-6.67,1.08,15.0,16.2,0.013999999999999999,11,70,6.83,2,22,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0
NH2NH3,Hf,Br,0.9606417783883029,0.5510204081632654,2.17,2.603313579,-12.982000000000001,1.73,2.91,-6.67,1.08,15.0,16.2,0.013999999999999999,18,70,6.83,2,22,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,10,10,14,0
NH2NH3,Hf,I,0.9420904371296379,0.4909090909090909,2.17,2.603313579,-12.982000000000001,1.73,2.91,-6.67,1.08,15.0,16.2,0.013999999999999999,24,70,6.83,2,22,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,14,0
NH2NH3,In,F,1.069059928359791,0.7406015037593985,2.17,2.603313579,-12.982000000000001,1.63,2.05,-6.67,0.985,18.8703,9.1,0.3,6,47,5.79,1,20,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,9,0,0,0
NH2NH3,In,Cl,1.0068998172173378,0.5441988950276243,2.17,2.603313579,-12.982000000000001,1.63,2.05,-6.67,0.985,18.8703,9.1,0.3,11,47,5.79,1,20,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,9,0,0,0
NH2NH3,In,Br,0.9916302228524418,0.5025510204081632,2.17,2.603313579,-12.982000000000001,1.63,2.05,-6.67,0.985,18.8703,9.1,0.3,18,47,5.79,1,20,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,9,10,0,0
NH2NH3,In,I,0.9701904658666287,0.4477272727272727,2.17,2.603313579,-12.982000000000001,1.63,2.05,-6.67,0.985,18.8703,9.1,0.3,24,47,5.79,1,20,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,9,20,0,0
NH2NH3,Mg,F,1.2072554800745934,0.5413533834586466,2.17,2.603313579,-12.982000000000001,1.31,2.03,-6.67,0.72,15.03527,10.6,0.2623,6,10,7.65,0,0,17.42,3.98,0.557,10,0.405,1.33,4,6,3.4010000000000002,4,0,0,0
